ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05410	Hypertrophic cardiomyopathy	45/2195	90/8463	7.750257197829465e-7	2.353259912795492e-5	1.4313872145273557e-5	71/7168/55799/3695/7040/3679/3688/3675/4000/776/783/784/1674/7124/7139/1636/7169/1906/3569/3678/3655/3672/3908/6262/60/3696/59284/782/3680/93589/4633/3693/4624/59283/6546/6443/6547/27092/7042/781/4634/3674/4625/3691/6543	45
hsa04933	AGE-RAGE signaling pathway in diabetic complications	48/2195	100/8463	1.5405051945696537e-6	4.287739458218869e-5	2.6080482679995014e-5	3383/5291/3725/6776/1278/5578/7048/7040/5335/1277/5331/4790/2335/1958/5332/5581/6777/5600/5293/7124/5579/4313/5333/1906/3569/6774/7422/7423/2308/27035/51196/5054/3845/3553/6347/3552/4088/3576/7412/4087/1287/1284/2152/595/7056/7042/8503/6300	48
hsa04015	Rap1 signaling pathway	85/2195	210/8463	2.2637422693813147e-6	5.816076292102763e-5	3.537670105186994e-5	6714/71/57121/5291/2260/9732/5154/10235/2776/5604/3684/260425/5906/5578/5335/5331/5909/5216/112/3688/5332/2775/1942/1946/1902/2263/5600/4254/5293/1398/6237/4804/5579/64411/284/3683/2889/5899/2902/5155/5605/2253/7422/2778/7423/1944/3689/1435/136/51196/83660/3845/23094/11069/60/5156/2261/1969/5228/5900/3643/111/56034/109/8817/27040/2904/7057/7074/3815/2149/2533/107/387/805/2324/3674/999/80310/8503/5587/6300/22808/57568/114	85
hsa05205	Proteoglycans in cancer	83/2195	205/8463	2.932983869872412e-6	6.613144696283673e-5	4.022492676907497e-5	6714/71/960/355/1026/5328/5291/5962/2260/5747/6385/2817/5604/2317/2017/51384/1278/5578/7040/2535/5335/1277/2335/3688/6608/117581/3710/816/857/5058/7480/2318/3236/5600/5293/6237/6382/7124/5579/815/4313/6548/7471/286/5567/288/3339/5605/1839/6774/7855/2065/7422/51196/3678/7482/3845/54361/6383/8321/7481/60/7477/7473/859/4087/3693/5329/7057/8322/7074/7474/387/595/7042/7483/7291/2099/8503/858/356/6300/22808	83
hsa05202	Transcriptional misregulation in cancer	79/2195	193/8463	3.084175760043179e-6	6.613144696283673e-5	4.022492676907497e-5	598/5218/1026/7185/5328/1848/5747/3087/8013/5154/958/3020/860/3695/51384/3684/1053/8091/942/64332/7048/440093/5087/4211/5914/4616/4790/329/4066/5468/6692/5371/3398/5077/6495/85414/2115/1437/2119/4804/3207/597/2521/3728/1051/6935/64919/894/2322/79058/604/3569/4005/4300/51804/2308/4613/3206/3002/4086/1647/51513/5327/84444/8938/3576/2120/4286/3195/890/4914/7704/1050/1671/472/2138/4094/10912/653604	79
hsa04151	PI3K-Akt signaling pathway	130/2195	354/8463	3.1679735072017596e-6	6.613144696283673e-5	4.022492676907497e-5	94235/598/8115/1026/57121/5291/2260/5747/5154/7531/2787/5604/3695/1278/5578/7533/1277/4790/200186/2690/2335/3679/3688/2783/2997/10681/3675/3911/3371/3912/1942/1946/2792/1902/3718/2263/4254/5528/5293/29941/5520/6850/5525/4804/627/90993/23533/5008/284/5526/1021/54541/23678/898/57521/894/842/2322/5523/3559/5155/5605/2253/3569/2065/4602/7422/6446/468/7423/3667/1944/1435/3678/7249/3845/3655/1291/3672/3908/3563/5156/2261/3696/2069/54331/1969/1293/1311/5228/4515/3914/1292/9623/3680/3643/7058/1287/56034/4914/3693/7039/1284/8817/9134/9586/1441/2791/7057/10319/3575/3918/3815/7148/1280/6696/146850/2149/7143/3164/2324/595/5522/4908/3674/80310/8503/3691/356/2786	130
hsa04261	Adrenergic signaling in cardiomyocytes	65/2195	154/8463	6.8945400896796625e-6	1.3545743470311808e-4	8.239295587047523e-5	7168/55799/2776/5578/5331/112/154/5332/776/816/783/64091/5600/5528/5520/5525/784/90993/815/23533/481/6548/5567/5526/7139/493/5523/9252/7169/2778/468/480/147/11069/6262/59284/482/782/486/93589/111/4633/109/477/153/4624/59283/9586/6546/3784/6547/6330/27092/146850/107/102723475/805/5522/491/781/4634/4625/6300/6543/114	65
hsa04940	Type I diabetes mellitus	25/2195	43/8463	7.529801537021373e-6	1.397196507425077e-4	8.498547933597221e-5	355/4049/3134/941/942/5798/7124/3109/1363/3553/3592/3002/3135/3552/3133/3105/3107/3123/5799/3127/3106/3382/3108/356/2571	25
hsa05142	Chagas disease	47/2195	102/8463	8.088916008894073e-6	1.4219462878792738e-4	8.649090247737151e-5	4792/355/5291/3725/8837/2776/6416/7048/7040/5331/4790/5332/2775/5600/5293/5520/7124/148022/1636/6352/3569/2778/5054/3553/3592/3459/6347/3576/4087/3586/714/2769/916/4615/919/917/107/5522/915/7042/2353/9630/8503/356/6300/4843/713	47
hsa04371	Apelin signaling pathway	59/2195	139/8463	1.4730376383345873e-5	2.3076793812449591e-4	1.4036625294052224e-4	94235/2787/2776/5604/5331/112/1958/2783/10681/3710/84557/5332/2792/5581/6237/4638/23533/10891/6548/5567/10365/4209/5605/7019/5054/3845/6262/5327/54331/8877/4088/182/4087/111/4633/109/2791/59/6546/6261/6547/814/6696/146850/107/85366/340156/805/5346/595/4634/999/6543/22808/4842/4843/2786/114/5140	59
hsa04072	Phospholipase D signaling pathway	62/2195	148/8463	1.4832938142101975e-5	2.3076793812449591e-4	1.4036625294052224e-4	55326/2185/56894/57121/5291/1759/5154/5604/5578/5335/5331/112/8395/5338/5332/1902/1608/4254/5293/6850/6237/553/23533/5899/5155/5605/9846/2778/27128/6464/9265/7249/3845/11069/5156/551/8877/3576/2534/8613/5900/3643/111/56034/109/2205/2918/3815/146850/2149/107/387/160851/8605/1607/5737/80310/8503/2915/22808/5321/114	62
hsa04064	NF-kappa B signaling pathway	47/2195	104/8463	1.533463024373593e-5	2.3076793812449591e-4	1.4036625294052224e-4	4792/598/7128/959/3383/4791/7185/5328/4049/3932/8837/958/8792/5335/4616/4790/329/8737/9020/8717/6850/7124/5579/84433/597/29760/128178/148022/6351/1459/3553/1647/3576/7412/115650/5588/79092/27040/4615/5743/29775/1896/3554/472/8600/6357/10912	47
hsa04360	Axon guidance	73/2195	182/8463	1.685265788021344e-5	2.3076793812449591e-4	1.4036625294052224e-4	8482/6714/8633/5291/54910/5747/6092/23654/5578/4756/5335/5361/23380/3688/151449/6585/6608/57522/2050/816/1942/1946/5058/8440/9037/9353/5293/1808/6237/10398/22885/56963/1073/815/2051/10500/9901/10509/2047/2049/6405/85464/10154/84628/25791/1944/9423/5998/3845/1947/57689/5362/54361/1969/10501/2534/4776/1630/3897/90249/56924/7852/2048/7474/22854/387/6586/9723/2043/91653/8503/2042/658	73
hsa00380	Tryptophan metabolism	24/2195	42/8463	1.718401723174512e-5	2.3076793812449591e-4	1.4036625294052224e-4	259307/224/847/8942/23498/39/121278/55526/130013/4128/3620/8564/1962/501/125061/217/316/169355/15/1543/4129/1545/26/883	24
hsa05416	Viral myocarditis	31/2195	60/8463	1.7273049260815562e-5	2.3076793812449591e-4	1.4036625294052224e-4	959/71/3383/3134/958/941/942/857/1604/3109/3683/842/637/1525/3689/54205/3908/60/3135/3133/3105/2534/3107/3123/4624/6443/3127/3106/595/3108/4625	31
hsa05146	Amoebiasis	46/2195	102/8463	2.0122124236307485e-5	2.5849190365102696e-4	1.572295537492852e-4	87/5291/5747/2776/3684/1278/5578/7040/1277/5331/4790/2335/3911/3912/5332/1437/5293/7124/81/5579/5567/912/3569/2778/3689/3553/3592/3908/3914/3576/913/3586/910/1287/5269/1284/338382/2769/10319/3918/3554/107/7042/9630/8503/4843	46
hsa05144	Malaria	27/2195	50/8463	2.122027512250437e-5	2.625026626265355e-4	1.596691266527619e-4	959/3383/2995/5175/958/4035/7040/6382/7124/3683/3569/3689/3553/3592/6383/6347/1311/3576/7412/3586/7058/1378/4615/7057/3820/7042/948	27
hsa04668	TNF signaling pathway	50/2195	114/8463	2.2690822907883997e-5	2.706691018297591e-4	1.6463642185043651e-4	4792/7128/355/3383/9021/7185/5291/4049/3725/153090/8837/5604/64127/6416/4790/329/8737/9020/8717/1437/5600/5293/6376/7124/90993/4323/197259/1051/11035/9252/3600/6352/1906/3569/468/1435/3976/3553/1326/840/6347/7412/182/9586/5743/6364/2353/8503/8809/6300	50
hsa04926	Relaxin signaling pathway	55/2195	129/8463	2.4390233940284294e-5	2.739103725004417e-4	1.666079479753711e-4	4792/94235/6714/5291/3725/2787/5604/6416/1278/5578/7048/7040/1277/5331/4790/112/2783/10681/5332/2775/2792/5600/5293/90993/4313/5567/5605/1906/7422/2778/468/7423/6464/4312/3845/54331/4087/111/1287/109/1284/2769/9586/2791/59/107/2353/408/8503/3640/6300/4842/4843/2786/114	55
hsa04020	Calcium signaling pathway	95/2195	253/8463	2.460272806890195e-5	2.739103725004417e-4	1.666079479753711e-4	2185/291/2260/5154/7416/2776/5578/5335/80228/5331/154/3710/5332/776/816/53373/2263/10800/5255/3707/5257/553/5579/4638/5027/815/7417/8913/5567/5979/493/444/2902/5333/5155/2253/2065/5025/7422/2778/7423/57172/57118/136/4486/51196/147/6262/5156/2261/293/8877/1139/3706/4776/844/56034/4914/109/7039/8817/153/777/2769/8911/2904/952/6915/6546/2906/7852/6261/6547/814/2149/107/85366/340156/805/2324/491/5260/6865/9630/57105/5737/80310/2915/4923/774/6543/4842/4843/114/3360	95
hsa05165	Human papillomavirus infection	119/2195	331/8463	2.5711012498835203e-5	2.7701542498745026e-4	1.6849661841341915e-4	5315/355/1026/5291/122011/3516/5747/3134/1452/10312/5604/7337/3695/51384/1278/9641/7297/3955/2535/1277/4790/2335/155066/3679/3688/3675/6934/3911/8717/3371/3912/6932/3280/7480/5528/5293/5520/23545/5525/7124/84441/55534/84667/90993/7471/245973/5567/5526/1021/27175/23352/898/894/148022/5523/7283/5605/7855/7422/2778/2308/3678/7249/7482/3845/3655/54361/8321/1291/3672/3908/7481/1869/3696/7477/3135/7473/1740/3133/1293/1311/3914/1292/3105/3680/83439/3107/182/890/7058/1287/3693/1284/23462/7098/4600/9134/9586/57801/7057/5743/10319/8322/3918/92359/7148/7474/1280/6696/3106/472/7143/595/5522/7483/3674/8503/3691/356	119
hsa04540	Gap junction	40/2195	88/8463	5.515346828882635e-5	5.756643252646251e-4	3.501519532810357e-4	6714/347733/5154/7280/112714/84790/203068/2776/5604/5578/5331/112/7846/84617/3710/7278/5332/1902/1453/2697/5579/5567/347688/5155/5605/2778/10382/3845/5156/5593/111/56034/109/983/153/2983/107/80310/2915/114	40
hsa04921	Oxytocin signaling pathway	62/2195	154/8463	6.259856223011598e-5	6.335733268139012e-4	3.8537551867344125e-4	6714/71/1026/3725/55799/29904/4882/2776/5604/5578/5331/112/3710/5332/2775/776/816/783/4881/3759/10398/784/5579/4638/815/23533/5567/5997/5605/2778/5020/57172/57118/3845/6262/60/59284/140465/782/4776/93589/111/109/2983/59283/952/5743/6261/814/27092/146850/107/85366/387/340156/805/595/8605/2353/781/5321/114	62
hsa04210	Apoptosis	56/2195	136/8463	6.739434933360372e-5	6.620503728654013e-4	4.0269688611100675e-4	4792/598/71/355/7185/5291/27429/3725/153090/1520/84823/8837/112714/84790/5604/8722/4616/4790/329/7846/8737/9020/4000/3710/8717/7278/5293/8795/7124/597/5414/5783/842/1519/5605/637/1677/468/54205/8739/3845/3002/1647/3563/60/1512/840/332/8743/4914/1508/472/10912/2353/8503/356	56
hsa04060	Cytokine-cytokine receptor interaction	106/2195	295/8463	7.226280866461518e-5	6.89593659828042e-4	4.1945028788784147e-4	6367/959/3604/355/7292/4049/7293/6361/1236/9466/10148/11009/958/8792/7048/7040/50615/3594/8784/970/2690/1233/151449/84957/23495/3597/9235/8764/3601/1437/6376/8795/7124/4804/5008/3953/3587/92/57007/3559/3600/6352/3569/6351/8200/3556/83729/3557/1435/943/3976/939/3624/6346/55504/3553/3592/3459/3563/1271/8743/6347/3552/8793/93/3576/1438/2833/3581/115650/6362/29949/3626/3595/3586/27302/130399/10563/6368/1441/6364/3575/7852/94/1896/3554/8718/3596/53342/8600/6375/8794/6357/58191/7042/51561/56300/4838/8809/8807/356/1232/920/654/132014/658	106
hsa05321	Inflammatory bowel disease	31/2195	65/8463	1.2492021818811215e-4	0.0011589820243008183	7.049591260323288e-4	3725/64127/7040/50615/3594/4790/6097/7124/3109/3569/6774/3553/3592/3459/3552/4088/4087/3595/3586/3123/2625/6775/3127/3596/4094/7042/51561/3108/8809/8807/50943	31
hsa04014	Ras signaling pathway	86/2195	236/8463	1.973563735028278e-4	0.001781541317566067	0.001083635279830605	94235/598/5291/2260/5154/10235/4763/2787/5604/10156/5906/5578/23179/5335/4790/2783/10681/5338/2113/1942/1946/2792/5058/2263/4254/5293/6237/4804/5579/627/284/5567/283455/5899/2322/8831/2902/5155/5605/2253/9846/7422/115727/7423/1944/6464/1435/51196/3845/57186/51365/26279/5156/2261/8437/54331/1969/11145/2114/5228/5900/10125/3643/56034/4914/7039/8817/27040/2904/2791/56924/7074/3815/387/805/2324/8605/4908/8399/80310/8503/356/22808/2786/5321/5924	86
hsa04390	Hippo signaling pathway	61/2195	157/8463	2.3274315187029763e-4	0.002045689808544195	0.0012443054933785995	71/7531/51384/4092/7533/7048/7040/154796/2535/25937/329/151449/6934/7159/6932/1742/3398/7480/1453/7003/5520/7471/10413/6788/894/9231/7855/8200/3689/85407/7482/5054/54361/4086/8321/7481/60/332/7477/7473/1740/4088/7005/122786/83439/4087/6591/7161/7004/8322/2736/7474/286204/595/5522/7042/7483/999/166824/654/658	61
hsa04659	Th17 cell differentiation	45/2195	108/8463	2.4597125971869587e-4	0.002106523096052421	0.001281307776672289	4792/3932/3725/9466/10148/3662/6776/7297/7048/7040/50615/3594/5335/5914/4790/6097/6777/3718/5600/3109/3559/3569/6774/3556/3553/3459/4088/5588/4087/3123/196/27040/916/2625/919/917/3127/3554/915/2353/51561/3108/50943/920/6300	45
hsa04814	Motor proteins	72/2195	193/8463	2.877093890063682e-4	0.0024023733982031746	0.0014612608441639226	71/7168/347733/10749/7280/112714/84790/4641/203068/56992/4647/7846/84617/64837/4629/7278/64005/10398/9585/9493/10120/53904/27175/7139/347688/1768/23303/1778/4642/7283/7169/399687/10382/3835/60/10540/3833/4627/24137/4646/55582/7140/140465/22989/147700/201625/8632/285643/1769/4633/127602/4624/4628/140469/59/3798/4645/4430/64446/23026/547/9928/72/3801/4634/4648/4625/55567/29895/1062/10112/283446	72
hsa04713	Circadian entrainment	41/2195	97/8463	3.181622144965426e-4	0.0025918580400450053	0.0015765162361446139	94235/2787/2776/5578/5331/112/2783/10681/3710/5332/2775/776/816/2792/5579/815/8913/5567/9252/2902/2778/6262/5593/54331/111/109/2983/8911/2904/2791/2906/6261/9722/107/805/2353/51655/2893/4842/2786/114	41
hsa04218	Cellular senescence	60/2195	156/8463	3.579851001287085e-4	0.00278215285764257	0.0016922644233375857	1026/291/5291/28996/3134/7416/5604/7048/7040/4616/4790/3710/2113/776/23411/1030/5600/5293/6237/678/7417/1021/898/894/5605/3569/891/2308/7249/5054/3845/1647/91750/1869/293/2305/3135/3552/3133/4088/3576/3105/4776/11200/3107/4087/890/9133/983/9134/4605/3106/472/805/595/10912/7042/8503/6300/22808	60
hsa04068	FoxO signaling pathway	52/2195	131/8463	3.5818135592404344e-4	0.00278215285764257	0.0016922644233375857	1026/5291/5604/847/7048/7040/5347/4616/2290/664/23710/9455/10733/23411/1030/5600/5293/8698/10365/23678/901/894/604/5605/3569/6774/6446/3667/891/2308/3845/1647/8743/1263/4088/10769/9133/3643/3586/9454/1901/80854/3575/114907/472/595/10912/7042/8503/100132074/356/6300	52
hsa05330	Allograft rejection	20/2195	38/8463	3.90835458217144e-4	0.0028594890618438085	0.0017393047240335806	959/355/3134/958/941/942/7124/3109/3592/3002/3135/3133/3105/3107/3586/3123/3127/3106/3108/356	20
hsa04725	Cholinergic synapse	46/2195	113/8463	3.9693361788609876e-4	0.0028594890618438085	0.0017393047240335806	94235/5291/2787/2776/5604/5578/5331/112/2783/10681/3710/5332/2775/776/816/43/2792/5293/3759/5579/90993/815/23533/8973/5567/468/3845/54331/1139/2534/56479/111/109/9586/2791/3784/1141/814/146850/107/2353/3786/8503/774/2786/114	46
hsa04660	T cell receptor signaling pathway	43/2195	104/8463	4.0857632023301834e-4	0.0028594890618438085	0.0017393047240335806	4792/959/5291/1493/3932/3725/5604/5335/4790/9020/5058/8440/1437/5600/5293/7124/84433/5788/5605/3845/5133/1326/925/2534/10125/5588/3586/3702/27040/916/919/56924/926/917/387/29851/915/9402/2353/8503/927/920/6300	43
hsa04658	Th1 and Th2 cell differentiation	39/2195	92/8463	4.109445358338408e-4	0.0028594890618438085	0.0017393047240335806	4792/3516/3932/864/3725/6776/7297/3594/5335/4790/6777/3718/5600/84441/55534/3109/3559/3592/3459/3714/182/5588/54567/3595/3123/27040/916/2625/6775/919/917/3127/3596/4094/915/2353/3108/920/6300	39
hsa05222	Small cell lung cancer	39/2195	92/8463	4.109445358338408e-4	0.0028594890618438085	0.0017393047240335806	4792/598/1026/7185/5291/2272/5747/4616/4790/2335/329/1164/3688/3675/3911/3912/1030/5293/1021/898/842/5915/54205/3655/1647/3908/1869/3914/1287/1284/9134/5743/10319/3918/595/10912/3674/8503/4843	39
hsa04810	Regulation of actin cytoskeleton	82/2195	229/8463	5.203898516834105e-4	0.0035471471522910024	0.0021575776879677383	6714/71/57121/87/5291/2245/5962/2260/5747/28984/5154/10109/5604/3695/3684/81624/2335/5216/3679/3688/9459/3675/8395/10787/4629/5058/1902/7114/23191/2263/8976/5293/1398/6237/10398/2934/81/4638/1073/6548/3683/85464/727/1730/5155/5605/9087/2253/8874/89846/3689/3678/3845/3655/3672/60/5156/2261/1793/3696/4627/3680/56034/4633/3693/10458/8817/4628/10788/56924/7852/7074/2149/85366/387/340156/3674/80310/8503/29895/3691/22808	82
hsa04934	Cushing syndrome	59/2195	155/8463	5.453203176781531e-4	0.003642739722090062	0.0022157225539343904	1026/2776/5604/51384/5906/2535/5087/5331/112/6934/3710/5332/6932/776/816/7480/1030/90993/815/7471/2516/8913/5567/949/1021/898/5605/54554/7855/2778/468/3777/50940/7482/54361/8321/7481/1869/7477/7473/57552/6770/83439/111/109/196/9134/3949/8911/9586/8322/7474/107/3164/595/7483/51655/1395/114	59
hsa04270	Vascular smooth muscle contraction	52/2195	134/8463	6.747620353408e-4	0.004419029800075043	0.0026879065597683054	5739/4882/2776/5604/5578/5331/112/79924/3710/4629/5332/776/5581/10266/4881/10398/553/5579/4638/5567/10267/5605/1906/133/2778/136/147/9826/26279/551/4627/140465/5588/111/10335/109/2983/4628/59/800/107/85366/387/340156/805/8605/5583/72/8399/3778/5321/114	52
hsa05143	African trypanosomiasis	19/2195	37/8463	8.119724959746111e-4	0.005215361801067695	0.0031722812089696345	355/3383/2776/5578/5331/5332/7124/5579/7064/8542/3569/3620/3553/3592/7412/3586/4615/169355/356	19
hsa04916	Melanogenesis	41/2195	101/8463	8.576830323281185e-4	0.005373528086627895	0.003268486986193456	2776/5604/51384/5578/2535/5331/112/6934/5332/6932/2775/816/7480/4254/5579/90993/815/7471/5567/5605/1906/7855/2778/7482/3845/54361/8321/7481/7477/7473/4286/83439/111/109/8322/3815/7474/107/805/7483/114	41
hsa04925	Aldosterone synthesis and secretion	40/2195	98/8463	8.687740020296596e-4	0.005373528086627895	0.003268486986193456	2776/5578/5331/112/3710/5332/776/816/5581/4881/5579/90993/815/481/8913/5567/949/747/493/2778/468/3777/480/57172/57118/482/6770/111/109/477/3949/8911/9586/814/107/3164/805/491/5587/114	40
hsa04911	Insulin secretion	36/2195	86/8463	8.938359580620782e-4	0.005428021999867892	0.0033016332996360013	3780/2776/5578/5331/112/3710/5332/776/816/5579/3767/90993/815/481/5567/3783/54795/2778/468/480/11069/6262/2645/482/486/111/109/477/3782/9586/6833/107/5864/6804/3778/114	36
hsa04145	Phagosome	57/2195	152/8463	0.0010247802272551592	0.006112082069700414	0.0037177177417339422	2213/71/347733/821/3134/1520/7280/9902/112714/84790/203068/10312/3684/55176/155066/7846/3688/84617/7278/8411/1535/9341/23545/8417/11151/245973/949/3109/347688/1778/23480/10382/3689/4689/3678/60/81035/3135/3133/4973/1311/3105/78989/4360/64581/3107/7058/3693/3123/338382/7057/3127/3106/3108/948/4842/10332	57
hsa04978	Mineral absorption	27/2195	60/8463	0.0010454626697351437	0.006126044415641017	0.0037262104387605307	3162/7779/7421/3163/481/79901/493/480/4891/4494/482/486/540/115019/4495/477/4493/4502/65010/6546/1811/6547/491/6550/2495/30061/6543	27
hsa04672	Intestinal immune network for IgA production	23/2195	49/8463	0.0011977745102730612	0.006897529076400042	0.004195471515112537	959/23308/57379/958/941/3695/942/7040/102723996/9020/23495/3601/3109/3600/3569/5284/115650/3586/3123/7852/3127/29851/3108	23
hsa05163	Human cytomegalovirus infection	79/2195	225/8463	0.0012599893811776966	0.007132821242599164	0.0043385896622175815	4792/94235/6714/2185/355/1026/5291/5747/3134/2787/2776/5604/5578/5331/4790/112/2783/8737/10681/3710/8717/5332/2775/2792/5600/5293/6376/1398/115004/7124/5579/90993/3587/5567/1021/842/5605/6352/3569/6351/6774/637/7422/2778/468/54205/7249/3845/3553/9826/1869/5156/3135/6347/54331/3133/3576/3105/4776/3107/111/109/9586/2791/5732/5743/7852/3554/3106/107/387/805/595/8503/356/1232/6300/2786/114	79
hsa04928	Parathyroid hormone synthesis, secretion and action	42/2195	106/8463	0.0013243596111185872	0.007372268501893468	0.004484235174489252	1026/2260/860/2776/5604/5578/5331/112/1958/5338/3710/5142/5332/7421/4040/5579/1594/90993/4323/5567/4209/5141/1839/2778/4041/468/5144/4326/9826/9935/846/111/109/9586/2625/64386/107/8600/387/2353/408/114	42
hsa04971	Gastric acid secretion	32/2195	76/8463	0.0015032763320816254	0.008098295079278433	0.004925846045700403	71/6752/2776/5578/5331/112/3710/5332/816/6522/3759/5579/4638/815/481/6548/5567/2778/480/760/60/482/111/109/477/115111/3784/107/85366/340156/805/114	32
hsa05133	Pertussis	32/2195	76/8463	0.0015032763320816254	0.008098295079278433	0.004925846045700403	3725/3684/4790/3688/29108/5600/7124/1073/727/148022/3569/3689/3678/3553/3592/840/3552/3576/3586/714/720/4615/721/725/387/805/722/2353/51561/6300/4843/713	32
hsa04961	Endocrine and other factor-regulated calcium reabsorption	24/2195	53/8463	0.0017555817119925036	0.009100522089501205	0.005535457810506563	1759/2776/5578/8766/5331/112/5332/7421/5579/481/5567/493/2778/480/482/486/477/3817/6546/6547/491/2099/3816/6543	24
hsa04750	Inflammatory mediator regulation of TRP channels	39/2195	98/8463	0.0017608140569090537	0.009100522089501205	0.005535457810506563	6714/5291/2776/5578/5335/5331/112/3710/5332/816/5581/5600/5293/5579/815/40/5567/41/3556/2778/5029/3553/8989/55515/5588/111/4914/109/5732/3554/107/79054/805/8605/5583/8503/6300/5321/114	39
