	Control_1	Control_2	Control_3	Control_4	Treatment_1	Treatment_2	Treatment_3	Treatment_4
ENSG00000204991	0	0	1	0	6	9	2	9
ENSG00000141002	912	886	838	948	2643	3002	2504	3539
ENSG00000258839	1	2	3	0	21	15	7	3
ENSG00000198211	0	0	0	0	0	0	0	0
ENSG00000258947	0	0	0	0	1	0	0	0
ENSG00000140995	119	84	320	377	1901	2262	1792	2497
ENSG00000003249	25	18	120	149	300	353	295	370
ENSG00000141013	27	19	27	41	31	31	31	24
ENSG00000126856	0	0	2	0	1	1	2	0
ENSG00000268320	0	0	0	0	0	0	0	0
ENSG00000272636	5	1	1	0	0	0	0	1
ENSG00000181031	4	1	2	1	9	8	8	8
ENSG00000187624	2	1	0	0	3	0	0	3
ENSG00000183688	75	71	4	2	12	22	4	15
ENSG00000141252	148	113	117	186	359	461	349	488
ENSG00000167695	95	101	34	36	17	17	26	31
ENSG00000179409	162	111	213	240	536	621	474	717
ENSG00000167699	273	240	268	350	1054	1156	922	1313
ENSG00000171861	91	101	94	125	320	411	289	417
ENSG00000167693	54	59	39	52	11	13	6	6
ENSG00000177370	55	45	101	123	253	239	241	305
ENSG00000159842	611	474	716	828	2979	3978	3074	4152
ENSG00000205899	0	0	0	0	0	0	0	0
ENSG00000184811	0	0	0	0	1	1	0	1
ENSG00000108953	3950	3979	4293	4959	4461	4448	3296	5071
ENSG00000280408	0	0	0	0	0	0	0	0
ENSG00000167193	639	597	965	988	829	896	727	878
ENSG00000197879	1552	1431	2462	2916	728	667	571	833
ENSG00000132376	258	265	297	292	799	977	833	1025
ENSG00000174238	513	518	747	829	1794	2019	1533	2073
ENSG00000167703	374	360	112	120	1016	1382	1118	1468
ENSG00000074660	38	30	75	87	3	4	8	3
ENSG00000167705	12	25	30	34	37	40	42	41
ENSG00000174231	2620	1791	3412	3819	8024	8589	7275	9016
ENSG00000185561	1	1	0	2	0	0	0	0
ENSG00000167716	229	226	172	200	942	1244	1011	1336
ENSG00000167711	40	46	96	117	529	727	648	691
ENSG00000132386	48	64	8	25	450	722	606	564
ENSG00000186532	76	112	49	85	280	341	281	376
ENSG00000132383	1080	990	1215	1679	5659	6369	5047	6413
ENSG00000185924	24	21	41	28	4	4	5	5
ENSG00000108963	65	43	68	69	254	336	243	333
ENSG00000262664	0	0	0	0	0	0	0	0
ENSG00000177374	12	8	1	0	6	4	2	8
ENSG00000070366	309	272	199	195	253	339	232	342
ENSG00000280333	0	0	0	0	0	0	0	0
ENSG00000279040	0	0	0	0	0	0	0	0
ENSG00000279562	0	0	0	0	0	0	0	0
ENSG00000279340	0	0	0	0	0	0	0	0
ENSG00000278941	0	0	0	0	0	0	0	0
ENSG00000280242	0	0	0	0	0	0	0	0
ENSG00000167720	27	33	26	46	59	76	75	82
ENSG00000167721	133	110	242	285	728	553	450	756
ENSG00000141258	120	129	99	105	313	371	270	359
ENSG00000070444	209	240	140	162	532	649	571	665
ENSG00000127804	177	185	175	235	839	904	735	949
ENSG00000279872	0	0	0	0	0	0	0	0
ENSG00000280280	0	0	0	0	0	0	0	0
ENSG00000007168	1976	2020	2337	2563	3969	4207	3645	4407
ENSG00000279432	0	0	0	0	0	0	0	0
ENSG00000132361	149	108	181	208	529	543	487	752
ENSG00000277200	1	0	0	0	2	1	2	2
ENSG00000132359	75	74	14	12	108	129	137	170
ENSG00000262628	0	0	0	0	0	0	0	0
ENSG00000184166	0	0	0	1	0	0	0	2
ENSG00000183024	0	0	0	0	0	0	0	0
ENSG00000262085	0	0	0	0	0	0	0	0
ENSG00000172150	0	0	0	0	0	0	0	0
ENSG00000172146	0	0	0	0	0	1	0	0
ENSG00000221882	4	1	3	1	0	1	2	2
ENSG00000180090	0	0	0	0	0	0	0	0
ENSG00000180042	0	0	0	0	0	0	0	0
ENSG00000180016	0	0	0	0	0	0	0	0
ENSG00000159961	1	0	0	0	0	0	0	0
ENSG00000127780	0	0	0	0	0	0	0	0
ENSG00000280268	0	0	0	0	0	0	0	0
ENSG00000141255	0	1	0	0	1	1	0	2
ENSG00000108381	0	0	0	0	0	0	0	0
ENSG00000167723	3	3	2	1	8	12	1	4
ENSG00000196689	1	7	5	15	20	30	16	24
ENSG00000262304	0	0	0	0	0	0	0	0
ENSG00000197417	0	0	0	0	0	0	0	0
ENSG00000040531	143	114	157	162	346	420	284	465
ENSG00000213977	0	0	0	0	1	1	4	4
ENSG00000257950	2	1	1	3	23	29	28	19
ENSG00000127774	0	0	0	0	0	0	0	0
ENSG00000083454	0	0	0	0	5	0	0	0
ENSG00000083457	36	50	13	31	114	132	112	126
ENSG00000177602	0	0	0	0	0	0	0	0
ENSG00000074356	225	227	285	371	919	997	868	1042
ENSG00000004660	16	28	41	31	65	75	60	103
ENSG00000108405	76	54	33	58	349	317	255	357
ENSG00000074370	1305	1181	882	1091	5540	6883	5751	7467
ENSG00000074755	581	402	462	528	1101	1123	874	1285
ENSG00000167740	33	22	42	50	307	289	255	304
ENSG00000185722	47	34	57	74	176	197	188	206
ENSG00000132388	525	538	666	777	2572	2800	2422	2850
ENSG00000182557	3	1	8	18	18	27	15	31
ENSG00000183018	0	1	1	0	9	3	5	3
ENSG00000132382	45	48	131	164	462	453	444	679
ENSG00000167741	0	0	0	0	0	0	0	0
ENSG00000188176	0	6	0	1	0	0	1	2
ENSG00000161905	54	52	9	5	15	26	12	32
ENSG00000141456	418	381	363	366	983	982	871	1322
ENSG00000141480	455	421	199	198	535	675	598	557
ENSG00000161920	110	119	84	123	312	385	323	439
ENSG00000161921	832	688	62	79	237	328	281	297
ENSG00000141497	21	10	0	0	0	0	0	0
ENSG00000142484	0	0	0	0	3	0	3	1
ENSG00000182853	9	15	0	0	0	0	0	0
ENSG00000280254	4	0	0	0	0	0	0	3
ENSG00000182327	1	6	0	0	2	2	1	2
ENSG00000142507	326	357	434	481	1641	1728	1483	1935
ENSG00000262165	1	0	2	2	3	5	4	5
ENSG00000129219	164	146	142	145	78	96	46	83
ENSG00000141503	750	769	637	694	1060	1429	1215	1677
ENSG00000108556	24	18	20	17	58	64	58	66
ENSG00000205710	0	0	0	0	0	0	0	0
ENSG00000185245	28	39	2	5	3	4	4	1
ENSG00000108528	655	713	1042	1268	1200	1376	1068	1453
ENSG00000108523	513	519	594	655	2079	2459	1981	2435
ENSG00000108518	6785	7065	9470	10621	8620	9312	7999	10763
ENSG00000108515	138	147	100	104	23	29	23	32
ENSG00000091640	505	544	427	565	659	738	589	849
ENSG00000108509	388	340	338	390	536	606	527	740
ENSG00000196388	12	10	13	8	47	57	46	63
ENSG00000129250	1630	1499	1453	1669	699	879	694	931
ENSG00000132517	1	2	0	0	0	1	8	0
ENSG00000180787	15	22	41	36	319	257	247	307
ENSG00000167840	43	58	75	115	432	522	399	499
ENSG00000129204	19	17	26	28	15	35	34	13
ENSG00000180626	14	9	13	13	83	89	82	85
ENSG00000161929	33	50	57	70	3498	4048	3455	4303
ENSG00000029725	183	175	199	294	587	783	646	866
ENSG00000108559	471	455	583	662	2406	2672	2161	2845
ENSG00000129197	196	185	165	215	476	434	353	504
ENSG00000108561	400	464	716	987	2566	2531	1894	2827
ENSG00000005100	30	29	161	135	134	126	118	160
ENSG00000072849	186	176	212	319	597	671	574	729
ENSG00000167842	77	87	136	187	742	816	703	804
ENSG00000091592	91	67	59	64	471	590	448	626
ENSG00000286190	0	0	0	0	0	0	0	0
ENSG00000285471	1	2	0	3	0	4	1	2
ENSG00000179314	0	1	0	0	0	0	1	0
ENSG00000129221	0	0	1	2	1	2	0	0
ENSG00000129195	0	0	0	0	1	2	1	1
ENSG00000091622	0	1	1	1	0	2	0	1
ENSG00000198920	20	10	13	14	77	79	55	79
ENSG00000282936	0	0	0	0	0	0	0	0
ENSG00000129235	73	50	82	146	362	377	291	421
ENSG00000108590	73	101	90	111	148	183	138	162
ENSG00000256806	7	4	22	33	178	224	177	265
ENSG00000141485	0	0	1	0	2	5	2	6
ENSG00000132530	2	10	74	95	165	165	145	208
ENSG00000279296	0	0	0	0	0	0	0	0
ENSG00000177294	0	0	0	1	1	3	0	4
ENSG00000167858	0	0	0	0	1	0	0	4
ENSG00000108839	32	18	34	32	103	136	96	145
ENSG00000219200	4	11	13	24	21	6	13	20
ENSG00000161939	0	0	0	1	0	1	0	0
ENSG00000258315	0	0	0	0	0	0	0	0
ENSG00000161940	6	11	12	12	8	14	15	14
ENSG00000174327	20	16	43	56	110	98	108	112
ENSG00000174326	7	2	15	22	49	58	34	59
ENSG00000132514	1	0	0	0	9	3	6	11
ENSG00000161944	2	0	0	0	3	0	0	1
ENSG00000141505	0	0	0	2	0	0	0	0
ENSG00000132535	155	149	112	89	1	1	9	8
ENSG00000279812	0	0	0	0	0	0	0	0
ENSG00000072778	1275	1400	822	952	910	1008	861	1166
ENSG00000004975	195	180	219	237	890	1102	822	1177
ENSG00000040633	354	381	430	471	1074	1409	1160	1421
ENSG00000170296	0	0	0	0	2	2	2	0
ENSG00000262526	0	0	0	0	0	0	0	0
ENSG00000279641	0	0	0	0	0	0	0	0
ENSG00000175826	371	355	432	411	841	863	828	972
ENSG00000262302	0	0	0	0	0	0	0	0
ENSG00000170291	0	0	0	0	0	0	0	0
ENSG00000181885	0	0	0	0	5	2	6	6
ENSG00000181856	0	0	4	0	0	0	1	0
ENSG00000006047	0	0	0	1	0	0	0	0
ENSG00000132507	2158	2267	2928	3038	3301	3118	2568	3767
ENSG00000132522	0	0	0	0	0	0	0	0
ENSG00000261915	0	0	0	0	0	0	0	0
ENSG00000215041	70	50	67	72	171	158	137	225
ENSG00000072818	601	710	362	491	1216	1673	1416	1599
ENSG00000213859	90	88	75	59	293	317	237	336
ENSG00000182896	0	0	0	0	0	0	0	0
ENSG00000174292	3	2	6	11	36	31	35	45
ENSG00000187838	0	0	0	0	0	0	0	0
ENSG00000262481	0	0	1	1	4	2	1	2
ENSG00000205544	0	0	0	0	0	0	0	0
ENSG00000169992	177	133	232	221	0	0	0	0
ENSG00000181323	0	0	0	0	0	0	0	0
ENSG00000184560	0	0	0	0	0	0	0	0
ENSG00000283439	0	0	0	0	0	0	0	0
ENSG00000286007	0	0	0	0	0	0	0	0
ENSG00000181284	56	73	65	66	161	155	196	219
ENSG00000161958	129	115	46	73	7	6	9	9
ENSG00000170175	38	44	78	68	208	217	178	210
ENSG00000174282	1033	840	643	717	2773	3373	2773	3467
ENSG00000259224	0	0	0	0	0	0	0	0
ENSG00000181222	1730	1216	1976	2289	4306	4485	4154	5554
ENSG00000239697	0	0	0	0	0	2	0	6
ENSG00000248871	0	0	0	0	2	3	0	3
ENSG00000161955	0	0	0	0	0	0	0	0
ENSG00000161956	34	38	44	62	192	195	140	196
ENSG00000277957	1	0	0	0	0	0	0	1
ENSG00000161960	174	233	191	282	164	199	121	157
ENSG00000129226	208	229	79	90	1427	1705	1404	1592
ENSG00000129255	137	152	165	214	810	813	707	957
ENSG00000129194	0	0	0	0	0	0	0	0
ENSG00000129245	361	352	364	331	401	536	474	507
ENSG00000129214	0	0	0	1	0	0	6	0
ENSG00000141504	0	0	0	0	0	0	0	0
ENSG00000129244	18	23	1	7	0	1	2	0
ENSG00000141510	328	210	562	651	2658	2443	2082	2944
ENSG00000141499	171	186	102	142	330	364	278	339
ENSG00000108947	0	0	0	0	0	0	0	0
ENSG00000183914	0	0	0	1	5	0	2	1
ENSG00000132510	1072	840	378	420	504	640	523	799
ENSG00000167874	1	0	0	0	0	2	2	1
ENSG00000183011	117	142	231	276	626	747	527	729
ENSG00000182224	0	0	0	0	0	0	0	0
ENSG00000280046	0	0	0	0	0	0	0	0
ENSG00000170004	1248	1079	816	898	1771	2277	1944	2503
ENSG00000179859	71	54	14	10	100	117	96	103
ENSG00000170049	5	3	0	1	5	2	0	0
ENSG00000262730	0	0	0	0	0	0	0	0
ENSG00000170043	474	546	527	569	1195	1365	1333	1579
ENSG00000170037	88	92	85	134	327	265	280	334
ENSG00000132518	2	3	0	2	0	0	0	0
ENSG00000279174	0	0	0	0	0	0	0	0
ENSG00000179593	649	611	3	6	3	1	0	5
ENSG00000179477	20	12	19	21	44	62	53	42
ENSG00000179148	1	2	0	3	1	2	1	3
ENSG00000179111	67	69	30	47	0	0	0	0
ENSG00000179094	454	403	157	132	387	432	378	527
ENSG00000263620	0	1	1	0	0	0	1	2
ENSG00000220205	0	0	0	0	0	0	0	0
ENSG00000179029	40	48	9	28	149	167	157	166
ENSG00000196544	146	116	109	129	505	640	545	711
ENSG00000279152	0	0	0	0	0	0	0	0
ENSG00000178999	8	10	0	1	3	5	0	0
ENSG00000178971	691	492	545	639	967	1182	856	1201
ENSG00000178921	85	74	238	288	836	807	670	1065
ENSG00000125434	7	18	13	12	60	55	43	59
ENSG00000108961	0	0	0	0	0	0	0	0
ENSG00000198844	4	1	3	2	0	0	0	0
ENSG00000184650	0	0	0	0	0	0	0	0
ENSG00000184619	6	6	9	10	16	27	32	33
ENSG00000263809	0	0	0	0	0	0	0	0
ENSG00000161970	0	0	0	0	0	0	0	0
ENSG00000189051	0	0	0	0	1	0	0	0
ENSG00000166579	643	584	527	654	883	1096	888	1080
ENSG00000133026	32	46	45	31	40	31	54	71
ENSG00000161973	1	1	0	1	2	3	0	1
ENSG00000183318	0	0	0	0	0	0	0	0
ENSG00000185156	0	0	0	0	0	0	0	0
ENSG00000276231	7	9	2	0	1	0	0	2
ENSG00000141506	874	791	325	384	179	238	158	213
ENSG00000065320	76	59	20	15	13	5	8	10
ENSG00000170310	192	202	214	265	483	441	432	542
ENSG00000166596	4	2	0	1	1	0	2	0
ENSG00000154914	23	20	14	17	2	3	0	1
ENSG00000184544	0	0	0	1	0	0	2	0
ENSG00000214978	1	1	0	0	0	0	6	1
ENSG00000065325	2	0	0	0	2	1	1	1
ENSG00000109047	0	0	0	0	0	0	0	0
ENSG00000007237	23	11	2	1	30	27	14	39
ENSG00000006788	3	0	1	0	6	2	5	4
ENSG00000133020	0	0	0	0	0	0	0	0
ENSG00000264424	0	0	0	0	0	0	0	1
ENSG00000109061	0	0	0	1	0	0	0	1
ENSG00000125414	0	0	0	1	0	0	0	1
ENSG00000109063	1	1	0	2	2	4	5	10
ENSG00000133028	91	115	113	166	440	533	367	556
ENSG00000170222	0	0	1	0	0	0	0	0
ENSG00000187824	21	17	9	10	143	164	144	168
ENSG00000263429	1	0	0	0	0	0	0	1
ENSG00000279542	0	0	0	0	0	0	0	0
ENSG00000233670	0	0	0	0	0	0	0	0
ENSG00000188803	1	2	1	1	2	1	1	1
ENSG00000007174	7	3	2	5	16	7	9	17
ENSG00000154957	75	82	84	78	210	263	186	242
ENSG00000065559	680	683	869	925	863	904	732	966
ENSG00000141052	1	1	21	28	7	7	2	10
ENSG00000006740	470	401	476	528	1828	1927	1562	2222
ENSG00000280168	0	0	0	0	0	0	0	0
ENSG00000006744	261	230	320	315	1261	1367	1107	1448
ENSG00000153976	6	5	3	1	1	1	1	0
ENSG00000006695	49	50	91	95	310	323	257	344
ENSG00000223510	1	0	0	0	0	1	3	3
ENSG00000125430	29	39	0	0	2	6	5	3
ENSG00000109099	70	73	31	25	3	8	1	8
ENSG00000279660	0	0	0	0	0	0	0	0
ENSG00000125409	2	0	0	0	0	0	0	0
ENSG00000279567	0	0	0	0	0	0	0	0
ENSG00000239704	0	0	0	0	0	0	0	0
ENSG00000259024	1	4	8	4	4	11	2	9
ENSG00000175106	0	0	0	0	0	0	0	0
ENSG00000241322	0	2	0	0	0	0	0	0
ENSG00000251537	0	0	0	0	0	2	3	1
ENSG00000221926	49	37	13	37	17	39	31	31
ENSG00000255104	2	2	3	1	5	11	2	4
ENSG00000187607	0	0	0	0	0	0	0	0
ENSG00000214946	0	0	0	0	0	0	0	0
ENSG00000170425	18	56	25	35	0	9	0	2
ENSG00000214941	28	14	25	21	188	241	168	228
ENSG00000011295	76	59	112	160	557	655	505	721
ENSG00000141027	861	636	672	918	1412	1756	1557	2154
ENSG00000108474	26	24	16	15	17	18	23	24
ENSG00000166582	17	20	21	20	2	6	4	10
ENSG00000170315	6632	7132	6862	7596	21567	24011	19747	25646
ENSG00000187688	238	221	357	391	580	682	617	691
ENSG00000181350	1666	1822	1275	1832	2785	2626	2513	3006
ENSG00000141040	14	26	39	82	294	292	306	264
ENSG00000197566	16	16	28	42	198	219	201	244
ENSG00000170160	0	0	0	0	0	0	0	0
ENSG00000266302	18	10	9	16	9	7	9	8
ENSG00000240505	11	15	5	17	260	307	254	341
ENSG00000133030	704	708	516	537	993	1227	1009	1299
ENSG00000278864	0	0	0	0	0	0	0	0
ENSG00000179598	0	0	0	0	0	0	0	0
ENSG00000264187	0	0	0	0	0	0	0	0
ENSG00000154803	0	0	0	0	0	0	0	0
ENSG00000141030	360	428	562	636	1379	1486	1130	1476
ENSG00000205309	25	18	55	25	68	43	46	32
ENSG00000141026	71	89	76	73	313	377	332	389
ENSG00000108551	1	1	0	0	7	13	4	15
ENSG00000133027	10399	12138	11025	10642	1848	1577	1561	2223
ENSG00000279200	0	0	0	0	0	0	0	0
ENSG00000108557	161	85	61	83	234	302	286	365
ENSG00000072310	254	242	284	324	254	263	220	329
ENSG00000175662	129	104	57	59	226	267	203	272
ENSG00000171962	1	2	0	2	0	1	0	2
ENSG00000171953	100	91	155	189	305	357	285	365
ENSG00000280198	0	0	0	0	0	0	0	0
ENSG00000141034	194	181	198	298	416	430	325	425
ENSG00000108591	90	97	132	152	375	401	302	493
ENSG00000279428	0	0	0	0	0	0	0	0
ENSG00000091536	4	4	5	0	10	4	0	3
ENSG00000091542	2154	1947	1294	1654	2689	3289	2701	3516
ENSG00000131899	85	56	90	101	453	463	369	510
ENSG00000177731	1065	974	942	1077	1898	2265	1981	2642
ENSG00000177427	49	39	35	67	167	207	179	196
ENSG00000177302	104	101	145	171	456	512	452	579
ENSG00000176994	501	426	586	619	1974	2104	1871	2347
ENSG00000176974	70	68	74	66	305	374	280	392
ENSG00000214860	0	0	0	0	0	0	0	0
ENSG00000171916	18	15	31	22	31	37	39	62
ENSG00000189375	0	0	0	0	0	0	0	0
ENSG00000240445	300	195	171	197	453	443	383	545
ENSG00000171931	0	3	0	0	2	1	0	2
ENSG00000171928	242	225	238	430	781	736	672	918
ENSG00000141127	238	225	311	367	999	1106	880	1184
ENSG00000154025	0	1	0	0	1	0	0	2
ENSG00000188522	0	0	0	0	0	0	0	0
ENSG00000154016	250	220	110	137	388	552	448	567
ENSG00000279825	0	0	0	0	0	0	0	0
ENSG00000189152	122	90	34	70	291	313	287	349
ENSG00000072134	105	91	81	83	166	200	187	167
ENSG00000108641	0	0	7	4	15	16	21	13
ENSG00000166484	129	100	122	120	225	247	238	319
ENSG00000166482	3	3	12	7	2	2	10	6
ENSG00000128482	2	3	0	0	4	0	1	3
ENSG00000142494	155	249	89	106	325	299	277	364
ENSG00000072210	64	48	75	98	919	1069	778	1131
ENSG00000180638	1	0	1	0	0	3	1	2
ENSG00000108602	0	1	0	0	5	2	1	4
ENSG00000083290	38	32	62	55	28	26	21	33
ENSG00000279251	0	0	0	0	0	0	0	0
ENSG00000108599	306	241	250	327	649	737	552	712
ENSG00000128487	116	110	138	154	67	56	70	88
ENSG00000170298	18	10	26	22	29	32	27	33
ENSG00000214819	0	0	0	0	0	0	0	0
ENSG00000124422	1196	966	1335	1664	4210	4755	3949	5228
ENSG00000109016	56	42	74	117	162	156	117	190
ENSG00000178307	202	217	180	230	392	438	379	513
ENSG00000274180	164	151	90	100	242	312	177	249
ENSG00000034152	473	436	449	583	1209	1436	1182	1508
ENSG00000184185	1	5	0	1	3	0	1	0
ENSG00000260458	0	0	0	0	0	0	0	0
ENSG00000109046	551	484	401	494	1639	2006	1667	1875
ENSG00000141068	78	50	75	80	96	123	122	124
ENSG00000266728	1	0	0	0	0	0	0	0
ENSG00000168961	3139	2919	3280	3571	2960	2637	2487	3281
ENSG00000007171	6	3	6	2	2	1	9	1
ENSG00000266202	1	1	4	2	5	0	4	3
ENSG00000232859	0	0	0	0	0	0	0	0
ENSG00000087095	226	211	313	335	637	622	546	638
ENSG00000109084	31	23	136	125	455	413	394	516
ENSG00000109083	76	85	83	140	284	325	280	337
ENSG00000109079	302	239	414	407	674	680	594	862
ENSG00000004142	601	571	1110	1180	3032	3188	2685	3743
ENSG00000244045	266	274	289	329	1113	1084	895	1167
ENSG00000274529	0	0	0	0	1	0	0	0
ENSG00000273171	0	0	0	0	0	0	0	0
ENSG00000004139	68	54	59	67	149	125	91	145
ENSG00000109072	0	0	0	0	0	0	0	0
ENSG00000279532	0	0	0	0	0	0	0	0
ENSG00000076351	6	7	5	4	18	41	25	32
ENSG00000167524	3666	4227	2089	3547	6594	7472	5602	6785
ENSG00000007216	0	0	0	0	0	0	0	0
ENSG00000109101	0	0	0	0	0	0	0	0
ENSG00000109103	0	0	0	0	0	0	0	0
ENSG00000087111	0	0	0	0	0	0	0	0
ENSG00000109107	0	0	0	0	0	0	0	0
ENSG00000076382	0	0	0	0	0	0	0	0
ENSG00000258472	0	0	0	0	0	0	0	0
ENSG00000007202	2384	2014	3658	4129	7197	8346	6981	8785
ENSG00000132581	515	561	593	679	1914	2202	1988	2359
ENSG00000109111	1483	1291	1222	1441	3036	3677	3346	4503
ENSG00000167525	63	50	5	15	31	33	29	18
ENSG00000109113	122	137	41	37	4	4	3	11
ENSG00000198242	28581	30289	20250	25263	51205	52546	46088	55656
ENSG00000160606	30	12	56	60	80	95	55	88
ENSG00000160602	194	173	106	130	666	701	638	852
ENSG00000076604	1453	1439	1676	2033	3615	3537	2854	4152
ENSG00000173065	388	326	419	465	562	652	543	749
ENSG00000132591	432	441	640	750	1049	1069	900	1168
ENSG00000132589	6441	5985	8859	9835	11229	12755	10734	13709
ENSG00000167536	897	1063	415	516	340	435	333	417
ENSG00000109118	1963	1664	1163	1296	1466	1870	1679	2110
ENSG00000179761	332	292	129	155	15	15	22	26
ENSG00000063015	0	0	0	0	0	0	0	0
ENSG00000196535	1335	1115	1003	1202	1327	1738	1572	2051
ENSG00000108255	4	1	0	0	3	1	0	0
ENSG00000108256	1686	1331	1654	2056	4147	4318	3749	4423
ENSG00000160551	1293	941	1454	2041	4158	4012	3345	4245
ENSG00000168792	145	111	199	261	1057	1102	870	1180
ENSG00000167543	364	390	306	362	922	1098	902	1192
ENSG00000108262	893	965	697	741	1634	1776	1530	2272
ENSG00000198720	42	33	39	51	42	51	31	83
ENSG00000167549	64	49	13	11	1	7	6	0
ENSG00000141298	993	604	650	875	4713	6072	5195	5932
ENSG00000176927	9	7	1	5	26	45	15	24
ENSG00000126653	306	351	197	306	566	664	537	684
ENSG00000108576	8	7	9	6	2	3	1	1
ENSG00000108578	524	605	574	664	533	466	401	633
ENSG00000182271	0	0	0	0	0	0	0	0
ENSG00000108582	223	210	232	235	547	648	493	632
ENSG00000108587	523	426	717	835	2142	2376	1950	2476
ENSG00000279431	0	0	0	0	0	0	0	0
ENSG00000279337	0	0	0	0	0	0	0	0
ENSG00000280069	2	0	0	0	0	0	0	0
ENSG00000176390	690	605	662	926	4189	4751	4040	4805
ENSG00000176208	33	17	15	45	100	114	63	108
ENSG00000172171	62	73	64	79	284	276	218	362
ENSG00000184060	89	88	94	128	119	109	116	161
ENSG00000181481	276	272	246	257	903	1019	798	959
ENSG00000196712	1047	900	1082	1373	1389	1478	1185	1497
ENSG00000126861	0	0	0	0	0	0	0	0
ENSG00000185862	0	0	0	0	0	0	0	0
ENSG00000265118	0	0	0	0	0	0	0	0
ENSG00000126860	0	0	0	0	0	0	0	0
ENSG00000131242	748	604	264	400	1453	1897	1688	2104
ENSG00000278977	0	0	0	0	0	0	0	0
ENSG00000172301	265	280	217	239	920	927	681	964
ENSG00000108651	432	501	522	753	2299	2545	2034	2641
ENSG00000178691	1268	1185	1253	1655	2434	2517	2174	2633
ENSG00000185158	100	105	55	59	249	251	186	247
ENSG00000278867	0	0	0	0	0	0	0	0
ENSG00000126858	380	394	381	487	677	753	624	830
ENSG00000280033	0	0	0	0	0	0	0	0
ENSG00000280020	0	0	0	0	0	0	0	0
ENSG00000141314	6	3	5	7	1	1	0	0
ENSG00000108666	71	87	103	106	228	258	246	311
ENSG00000010244	2742	2627	2152	2323	5238	5273	4549	6386
ENSG00000108671	2204	2601	2266	2574	2604	2668	2140	3057
ENSG00000176749	31	24	9	27	22	27	15	29
ENSG00000176658	745	688	168	153	95	109	50	83
ENSG00000280245	0	0	0	0	0	0	0	0
ENSG00000279781	0	0	0	0	0	0	0	0
ENSG00000290320	1	0	0	0	0	0	0	1
ENSG00000006042	2	0	1	0	1	1	0	4
ENSG00000141316	0	0	3	5	4	4	9	3
ENSG00000108684	229	219	177	180	175	212	172	236
ENSG00000280349	0	0	0	0	0	0	0	0
ENSG00000279674	0	0	0	0	0	0	0	0
ENSG00000108691	4	6	0	0	83	78	45	109
ENSG00000108688	0	0	0	0	0	0	0	0
ENSG00000172156	0	0	0	0	0	0	0	0
ENSG00000108700	0	0	0	0	1	0	0	1
ENSG00000181374	6	10	0	0	1	0	0	0
ENSG00000108702	56	85	2	2	0	0	0	0
ENSG00000181291	0	1	0	0	0	0	0	0
ENSG00000278860	0	0	0	0	0	0	0	0
ENSG00000132141	2	2	4	16	59	60	48	68
ENSG00000198783	0	0	0	0	0	0	0	0
ENSG00000005156	295	232	402	497	764	793	685	896
ENSG00000092871	288	263	306	398	590	655	530	666
ENSG00000267618	0	0	0	1	1	0	0	2
ENSG00000185379	0	0	0	0	0	0	0	0
ENSG00000073598	3	1	1	0	10	10	6	14
ENSG00000073536	461	463	313	350	473	471	399	587
ENSG00000141161	2285	2352	2170	2463	42	42	49	48
ENSG00000164729	0	0	0	0	0	0	0	0
ENSG00000166750	833	661	1483	2013	1522	1525	1362	1772
ENSG00000172716	80	79	180	252	1004	1198	975	1041
ENSG00000172123	16	15	42	56	113	158	119	142
ENSG00000154760	195	133	120	201	367	507	370	456
ENSG00000205045	142	129	142	241	251	201	160	221
ENSG00000236320	0	2	11	7	8	10	15	4
ENSG00000108733	58	54	102	133	329	321	283	346
ENSG00000006125	2085	1954	3109	3736	7739	8296	6871	9077
ENSG00000270885	6	9	1	8	32	34	18	35
ENSG00000270765	0	0	0	0	1	0	0	2
ENSG00000271447	1	3	0	0	2	5	2	6
ENSG00000270806	0	0	0	0	0	0	0	0
ENSG00000270647	910	1010	699	759	2542	2666	2154	3562
ENSG00000270379	0	0	0	0	0	0	0	1
ENSG00000271503	2044	2104	317	382	245	208	183	254
ENSG00000278023	0	1	0	1	0	0	0	2
ENSG00000275722	0	0	0	0	0	0	0	0
ENSG00000275152	0	0	0	0	0	0	0	0
ENSG00000276409	0	0	1	0	0	0	0	0
ENSG00000275688	0	0	0	0	0	0	0	0
ENSG00000275718	0	0	0	0	0	0	0	0
ENSG00000274736	17	19	0	2	0	1	1	1
ENSG00000275385	52	68	2	1	4	0	0	0
ENSG00000277632	246	316	476	399	747	412	452	697
ENSG00000275302	75	99	114	148	826	822	720	1617
ENSG00000274808	1	0	0	1	0	0	0	0
ENSG00000276085	18	19	0	1	9	7	9	13
ENSG00000276070	26	20	14	12	136	80	96	131
ENSG00000274933	5	2	1	1	2	1	2	0
ENSG00000260287	95	89	46	63	42	30	48	43
ENSG00000274226	0	1	1	1	0	1	0	2
ENSG00000275954	1	2	3	2	3	1	3	0
ENSG00000273611	394	394	244	301	952	818	581	1015
ENSG00000278259	83	98	98	137	206	219	237	258
ENSG00000277161	0	0	0	0	0	0	0	0
ENSG00000278311	2060	2110	1141	1385	1788	2130	1853	2355
ENSG00000278535	35	38	24	34	128	101	95	117
ENSG00000278619	84	86	80	93	288	276	273	372
ENSG00000273706	0	0	0	0	0	0	0	0
ENSG00000275700	941	1016	647	859	2128	2378	2080	2717
ENSG00000278540	262	251	474	468	913	969	847	1095
